date,store_id,city,orders,customers,units_sold,revenue,average_order_value,cancelled_orders
2025-01-01,1,Sydney,4.0,4.0,9.0,1702.74,425.68,0.0
2025-01-01,2,Sydney,6.0,6.0,17.0,1279.93,213.32,0.0
2025-01-01,3,Melbourne,2.0,2.0,2.0,71.7,35.85,0.0
2025-01-01,4,Melbourne,6.0,6.0,22.0,2597.23,432.87,0.0
2025-01-01,5,Brisbane,6.0,6.0,11.0,1862.66,310.44,0.0
2025-01-01,6,Perth,9.0,9.0,30.0,6668.08,740.9,0.0
2025-01-01,7,Adelaide,2.0,2.0,5.0,345.62,172.81,0.0
2025-01-01,8,Canberra,16.0,16.0,51.0,6850.01,428.13,0.0
2025-01-02,1,Sydney,4.0,4.0,13.0,1419.54,354.88,0.0
2025-01-02,2,Sydney,1.0,1.0,6.0,118.02,118.02,1.0
2025-01-02,3,Melbourne,4.0,4.0,18.0,5127.23,1281.81,0.0
2025-01-02,4,Melbourne,1.0,1.0,3.0,49.89,49.89,0.0
2025-01-02,5,Brisbane,1.0,1.0,3.0,111.98,111.98,1.0
2025-01-02,6,Perth,3.0,3.0,3.0,681.21,227.07,1.0
2025-01-02,7,Adelaide,5.0,5.0,13.0,1106.71,221.34,0.0
2025-01-02,8,Canberra,4.0,4.0,10.0,3403.0,850.75,0.0
2025-01-03,1,Sydney,2.0,2.0,2.0,129.79,64.9,0.0
2025-01-03,2,Sydney,5.0,5.0,12.0,895.14,179.03,0.0
2025-01-03,3,Melbourne,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03,4,Melbourne,3.0,3.0,10.0,2017.79,672.6,0.0
2025-01-03,5,Brisbane,4.0,4.0,16.0,2253.66,563.42,0.0
2025-01-03,6,Perth,3.0,3.0,4.0,584.57,194.86,0.0
2025-01-03,7,Adelaide,7.0,7.0,25.0,2856.3,408.04,0.0
2025-01-03,8,Canberra,7.0,7.0,21.0,1563.27,223.32,0.0
2025-01-04,1,Sydney,4.0,4.0,20.0,2917.14,729.28,0.0
2025-01-04,2,Sydney,3.0,3.0,12.0,776.63,258.88,1.0
2025-01-04,3,Melbourne,3.0,3.0,4.0,710.63,236.88,0.0
2025-01-04,4,Melbourne,3.0,3.0,4.0,192.72,64.24,0.0
2025-01-04,5,Brisbane,7.0,7.0,18.0,3151.27,450.18,0.0
2025-01-04,6,Perth,11.0,11.0,44.0,6306.64,573.33,0.0
2025-01-04,7,Adelaide,7.0,7.0,20.0,2934.19,419.17,0.0
2025-01-04,8,Canberra,10.0,10.0,40.0,6371.93,637.19,0.0
2025-01-05,1,Sydney,3.0,3.0,11.0,3005.25,1001.75,0.0
2025-01-05,2,Sydney,3.0,3.0,9.0,1058.67,352.89,0.0
2025-01-05,3,Melbourne,5.0,5.0,23.0,3510.41,702.08,1.0
2025-01-05,4,Melbourne,2.0,2.0,6.0,1096.2,548.1,0.0
2025-01-05,5,Brisbane,11.0,11.0,39.0,8242.49,749.32,0.0
2025-01-05,6,Perth,3.0,3.0,10.0,748.56,249.52,0.0
2025-01-05,7,Adelaide,10.0,10.0,40.0,6814.05,681.4,2.0
2025-01-05,8,Canberra,4.0,4.0,9.0,1778.68,444.67,0.0
2025-01-06,1,Sydney,5.0,5.0,16.0,2712.87,542.57,0.0
2025-01-06,2,Sydney,6.0,6.0,20.0,3445.74,574.29,0.0
2025-01-06,3,Melbourne,3.0,3.0,12.0,1717.09,572.36,0.0
2025-01-06,4,Melbourne,6.0,6.0,16.0,3861.37,643.56,0.0
2025-01-06,5,Brisbane,2.0,2.0,4.0,142.71,71.35,1.0
2025-01-06,6,Perth,9.0,9.0,23.0,2811.27,312.36,0.0
2025-01-06,7,Adelaide,2.0,2.0,6.0,262.3,131.15,0.0
2025-01-06,8,Canberra,6.0,6.0,16.0,2398.46,399.74,1.0
2025-01-07,1,Sydney,5.0,5.0,11.0,1430.24,286.05,0.0
2025-01-07,2,Sydney,8.0,8.0,23.0,1479.59,184.95,0.0
2025-01-07,3,Melbourne,9.0,9.0,38.0,3684.2,409.36,0.0
2025-01-07,4,Melbourne,3.0,3.0,10.0,1341.24,447.08,0.0
2025-01-07,5,Brisbane,7.0,7.0,33.0,7396.4,1056.63,0.0
2025-01-07,6,Perth,11.0,11.0,43.0,6370.11,579.1,0.0
2025-01-07,7,Adelaide,7.0,7.0,35.0,2896.68,413.81,1.0
2025-01-07,8,Canberra,4.0,4.0,12.0,1959.19,489.8,0.0
2025-01-08,1,Sydney,2.0,2.0,4.0,350.15,175.08,1.0
2025-01-08,2,Sydney,2.0,2.0,9.0,2932.2,1466.1,1.0
2025-01-08,3,Melbourne,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-08,4,Melbourne,4.0,4.0,12.0,1214.95,303.74,0.0
2025-01-08,5,Brisbane,9.0,9.0,31.0,6414.06,712.67,0.0
