month,product_id,product_name,category,units_sold,revenue,average_price,average_discount,returns,return_rate
2025-01,1,Automated executive standardization,Groceries,23.0,356.85,15.43,0.1501,0.0,0.0
2025-02,1,Automated executive standardization,Groceries,32.0,498.96,15.51,0.1501,1.0,0.0312
2025-03,1,Automated executive standardization,Groceries,25.0,394.75,15.79,,1.0,0.04
2025-04,1,Automated executive standardization,Groceries,24.0,377.38,15.67,0.1001,0.0,0.0
2025-05,1,Automated executive standardization,Groceries,22.0,344.22,15.67,0.1001,0.0,0.0
2025-06,1,Automated executive standardization,Groceries,27.0,420.01,15.47,0.1501,0.0,0.0
2025-07,1,Automated executive standardization,Groceries,25.0,382.11,15.45,0.1501,0.0,0.0
2025-08,1,Automated executive standardization,Groceries,18.0,274.74,15.47,0.2001,0.0,0.0
2025-09,1,Automated executive standardization,Groceries,41.0,645.81,15.72,0.1001,0.0,0.0
2025-10,1,Automated executive standardization,Groceries,22.0,347.38,15.79,,0.0,0.0
2025-11,1,Automated executive standardization,Groceries,31.0,483.17,15.61,0.2001,0.0,0.0
2025-12,1,Automated executive standardization,Groceries,30.0,465.8,15.59,0.1001,2.0,0.0667
2026-01,1,Automated executive standardization,Groceries,43.0,667.91,15.5,0.1668,0.0,0.0
2026-02,1,Automated executive standardization,Groceries,27.0,426.33,15.79,,0.0,0.0
2026-03,1,Automated executive standardization,Groceries,48.0,754.76,15.73,0.1001,0.0,0.0
2026-04,1,Automated executive standardization,Groceries,45.0,702.65,15.6,0.1501,1.0,0.0222
2026-05,1,Automated executive standardization,Groceries,34.0,528.96,15.54,0.1001,0.0,0.0
2026-06,1,Automated executive standardization,Groceries,34.0,528.96,15.49,0.1334,0.0,0.0
2026-07,1,Automated executive standardization,Groceries,3.0,47.37,15.79,,0.0,0.0
2025-01,2,Virtual client-server Local Area Network,Sporting Goods,23.0,6398.14,277.11,0.2,1.0,0.0435
2025-02,2,Virtual client-server Local Area Network,Sporting Goods,19.0,5331.78,280.62,,0.0,0.0
2025-03,2,Virtual client-server Local Area Network,Sporting Goods,28.0,7632.88,274.02,0.1333,0.0,0.0
2025-04,2,Virtual client-server Local Area Network,Sporting Goods,17.0,4742.48,278.28,0.1,0.0,0.0
2025-05,2,Virtual client-server Local Area Network,Sporting Goods,20.0,5528.22,275.94,0.1,0.0,0.0
2025-06,2,Virtual client-server Local Area Network,Sporting Goods,26.0,7211.94,278.75,0.1,0.0,0.0
