product_id,product_name,category,units_sold,revenue,average_discount,average_price,return_rate
1,Automated executive standardization,Groceries,554,8648.12,0.1371,15.6,0.009
2,Virtual client-server Local Area Network,Sporting Goods,554,154144.66,0.1273,278.3,0.0289
3,Multi-layered static standardization,Home & Kitchen,455,174479.43,0.136,383.4,0.0242
4,Cross-platform logistical policy,Electronics,542,189094.38,0.1386,348.55,0.0148
5,Proactive real-time adapter,Sporting Goods,556,121223.97,0.1342,218.59,0.018
6,Profound intermediate orchestration,Electronics,512,142449.44,0.1324,277.84,0.0195
7,Multi-layered regional neural-net,Apparel,546,21982.1,0.1223,40.17,0.022
8,Versatile intermediate infrastructure,Toys,546,42124.32,0.1324,77.25,0.0055
9,Enhanced analyzing benchmark,Groceries,592,22107.54,0.1374,37.33,0.0186
10,Decentralized homogeneous collaboration,Sporting Goods,551,83329.71,0.1457,151.44,0.0163
11,Cross-platform cohesive migration,Beauty,553,15588.45,0.1399,28.18,0.0145
12,Proactive clear-thinking throughput,Apparel,534,26032.83,0.1454,48.8,0.015
13,Networked radical middleware,Toys,578,27403.54,0.1314,47.47,0.0225
14,Future-proofed object-oriented contingency,Toys,508,33033.47,0.1482,64.97,0.0157
15,Multi-tiered asymmetric application,Home & Kitchen,561,204320.81,0.1394,363.88,0.0214
16,Reduced analyzing contingency,Apparel,504,57118.45,0.1291,113.17,0.0298
17,Centralized composite frame,Apparel,579,76302.63,0.14,131.49,0.0173
18,Grass-roots asynchronous model,Home & Kitchen,533,161561.03,0.1428,303.4,0.0131
19,Secured bi-directional paradigm,Sporting Goods,482,64048.3,0.1387,132.82,0.0104
20,Streamlined solution-oriented service-desk,Groceries,569,21401.17,0.1366,37.6,0.0158
21,Centralized bandwidth-monitored process improvement,Apparel,540,50814.2,0.155,94.07,0.013
22,Persevering zero tolerance project,Beauty,536,20563.24,0.1474,38.32,0.0168
23,Up-sized full-range groupware,Home & Kitchen,507,138295.71,0.1414,272.58,0.0138
24,Progressive static standardization,Beauty,533,32335.88,0.1371,60.6,0.0188
25,Organic composite capacity,Apparel,596,53058.04,0.1265,88.91,0.0151
26,Configurable zero-defect functionalities,Apparel,574,43875.82,0.1485,76.52,0.0192
27,Business-focused optimizing flexibility,Toys,586,53017.04,0.1451,90.65,0.0068
28,Multi-layered upward-trending contingency,Apparel,558,44805.22,0.148,80.23,0.009
29,Synergistic real-time archive,Beauty,541,24076.55,0.1371,44.51,0.0129
30,Reactive stable budgetary management,Home & Kitchen,580,214924.12,0.1375,370.85,0.0121
31,Innovative modular time-frame,Groceries,517,19637.64,0.153,37.92,0.0251
32,Upgradable high-level structure,Electronics,583,459438.5,0.1324,788.73,0.012
33,Optional 6thgeneration leverage,Home & Kitchen,501,89012.58,0.1233,177.65,0.014
34,Operative real-time time-frame,Home & Kitchen,550,38395.6,0.1481,69.86,0.0091
35,Configurable heuristic capacity,Groceries,538,3068.46,0.1277,5.7,0.0167
36,Stand-alone background secured line,Beauty,483,13260.99,0.1444,27.45,0.0166
37,Upgradable coherent orchestration,Electronics,535,32493.82,0.1308,60.8,0.0131
38,Integrated bi-directional solution,Toys,467,39379.32,0.1429,84.39,0.015
39,Public-key interactive intranet,Home & Kitchen,523,52446.05,0.1333,100.23,0.0229
40,Reverse-engineered 5thgeneration circuit,Groceries,582,4624.7,0.1292,7.94,0.0069
41,Adaptive bi-directional utilization,Groceries,537,10960.65,0.14,20.4,0.0112
42,Decentralized clear-thinking support,Groceries,576,14901.08,0.1383,25.92,0.0174
43,Ameliorated zero administration time-frame,Toys,540,4714.34,0.14,8.71,0.0111
44,Mandatory bottom-line structure,Beauty,527,7566.16,0.1364,14.36,0.0152
45,Public-key modular firmware,Beauty,568,43183.62,0.1314,75.94,0.0141
46,Versatile tangible knowledgebase,Sporting Goods,528,96838.17,0.1298,183.34,0.0189
47,Mandatory human-resource array,Sporting Goods,513,141879.11,0.1414,276.59,0.0156
48,Universal 5thgeneration array,Beauty,537,10943.22,0.1433,20.41,0.0149
49,Universal demand-driven service-desk,Beauty,522,33459.44,0.1428,63.98,0.0115
50,Open-architected content-based software,Beauty,499,7869.94,0.1195,15.77,0.01
51,Re-engineered impactful firmware,Electronics,530,399429.8,0.1407,754.92,0.0113
52,Right-sized optimizing installation,Electronics,552,531634.89,0.13,963.45,0.0199
53,Inverse hybrid hardware,Sporting Goods,502,28924.52,0.1447,57.65,0.0159
54,Business-focused contextually-based monitoring,Electronics,583,89226.23,0.1343,152.78,0.0086
55,Enhanced zero tolerance core,Beauty,533,28183.82,0.1566,52.89,0.015
56,Triple-buffered user-facing application,Toys,530,26376.4,0.15,49.82,0.0151
57,Synchronized discrete framework,Electronics,551,363198.34,0.1297,659.05,0.0073
58,Face-to-face grid-enabled core,Electronics,530,441579.47,0.1457,833.78,0.0151
59,Vision-oriented didactic info-mediaries,Electronics,541,547014.4,0.1375,1010.1,0.0111
60,Networked directional approach,Home & Kitchen,514,132284.9,0.125,257.62,0.0117
61,Persevering motivating approach,Toys,526,43662.57,0.1281,82.92,0.0247
62,Cross-platform 4thgeneration algorithm,Home & Kitchen,538,207421.42,0.1375,385.87,0.0074
63,Quality-focused reciprocal migration,Sporting Goods,578,169947.68,0.14,293.77,0.0121
64,Profit-focused motivating budgetary management,Groceries,550,9199.53,0.1265,16.73,0.0145
65,Reduced grid-enabled firmware,Sporting Goods,549,43521.3,0.14,79.26,0.0237
66,Face-to-face clear-thinking knowledge user,Electronics,560,575804.3,0.1375,1028.28,0.0179
67,Virtual hybrid collaboration,Sporting Goods,522,54545.12,0.131,104.55,0.0096
68,Fully-configurable 24hour benchmark,Groceries,562,18131.64,0.1322,32.25,0.0249
69,Total directional capability,Electronics,537,148984.15,0.1382,277.64,0.0223
70,Re-contextualized regional instruction set,Groceries,491,4187.3,0.1383,8.53,0.0305
71,Exclusive homogeneous interface,Sporting Goods,495,66293.88,0.1516,133.73,0.0182
72,Customer-focused 24/7 contingency,Electronics,541,266848.39,0.129,492.8,0.0111
73,Multi-tiered bifurcated groupware,Groceries,556,2797.86,0.1538,5.04,0.0126
74,Intuitive empowering monitoring,Home & Kitchen,508,191909.96,0.1351,377.8,0.0197
75,Devolved needs-based orchestration,Toys,573,20273.54,0.1242,35.38,0.0175
76,Distributed system-worthy encryption,Groceries,490,3098.24,0.1423,6.32,0.0143
77,Exclusive disintermediate analyzer,Electronics,532,175501.22,0.1379,329.77,0.0226
78,Cross-group encompassing matrices,Home & Kitchen,519,22002.35,0.1399,42.38,0.0212
79,Total encompassing project,Groceries,552,12711.87,0.1277,23.0,0.0163
80,Compatible mission-critical strategy,Home & Kitchen,597,189028.99,0.1452,316.48,0.0235
81,Mandatory client-server functionalities,Apparel,516,52880.88,0.1333,102.45,0.0136
82,Face-to-face 24/7 superstructure,Home & Kitchen,552,91463.31,0.1384,166.04,0.0163
83,Expanded methodical productivity,Home & Kitchen,546,170742.79,0.1361,312.2,0.0256
84,Distributed executive open system,Electronics,552,289360.18,0.1545,524.83,0.0127
85,Synchronized leadingedge framework,Sporting Goods,573,6795.33,0.1332,11.85,0.0175
86,Up-sized mission-critical intranet,Sporting Goods,517,65371.66,0.15,126.34,0.0193
87,Integrated web-enabled synergy,Groceries,519,3283.2,0.1345,6.32,0.027
88,Reactive mobile neural-net,Electronics,490,106530.12,0.132,217.18,0.0306
89,Seamless interactive success,Sporting Goods,590,29798.54,0.15,50.53,0.0136
90,Optional multi-state orchestration,Sporting Goods,525,50189.98,0.1236,95.51,0.0171
91,Compatible didactic pricing structure,Toys,567,20477.87,0.1286,36.06,0.0088
92,Total scalable success,Electronics,507,357357.77,0.1459,704.68,0.0158
93,Distributed real-time synergy,Home & Kitchen,583,215106.98,0.14,369.31,0.0154
94,Assimilated secondary benchmark,Groceries,569,13663.72,0.1452,24.01,0.0176
95,Sharable tangible array,Electronics,535,534705.08,0.1395,1001.15,0.0019
96,Visionary solution-oriented emulation,Toys,572,55219.89,0.1318,96.31,0.014
97,Ergonomic dedicated pricing structure,Apparel,548,45330.83,0.1434,82.67,0.0255
98,Upgradable multi-state approach,Home & Kitchen,570,30741.96,0.1172,53.87,0.014
99,Function-based composite matrix,Home & Kitchen,553,18559.15,0.1429,33.53,0.0163
100,Persistent intangible framework,Electronics,549,553362.79,0.1393,1007.07,0.0128
101,Cloned global knowledgebase,Apparel,552,53812.58,0.1286,97.58,0.0181
102,Organic system-worthy flexibility,Home & Kitchen,548,110888.02,0.1333,202.33,0.0164
103,Proactive client-driven budgetary management,Apparel,541,59921.21,0.1448,110.66,0.0092
104,Inverse heuristic groupware,Home & Kitchen,511,8174.77,0.1363,15.98,0.0157
105,Multi-lateral bandwidth-monitored toolset,Sporting Goods,477,121412.01,0.1393,254.41,0.021
106,Networked tangible knowledge user,Sporting Goods,526,113331.38,0.1441,215.7,0.0152
107,Inverse fault-tolerant utilization,Beauty,561,25073.99,0.1381,44.7,0.0143
108,Expanded disintermediate utilization,Apparel,603,62408.86,0.1395,103.54,0.0182
109,Persistent contextually-based hub,Sporting Goods,504,90190.76,0.1472,179.01,0.006
110,Innovative intermediate encoding,Electronics,603,334649.75,0.1286,555.63,0.0182
111,Reverse-engineered explicit moderator,Electronics,566,348172.66,0.1353,615.27,0.0124
112,Sharable actuating contingency,Toys,526,2902.14,0.1382,5.51,0.0171
113,Innovative clear-thinking toolset,Home & Kitchen,531,139782.21,0.1455,263.35,0.0132
114,Distributed didactic challenge,Groceries,527,20412.01,0.14,38.75,0.0304
115,Enhanced system-worthy project,Beauty,566,21044.62,0.1333,37.15,0.0212
116,Reverse-engineered motivating structure,Sporting Goods,515,23810.9,0.1479,46.26,0.0136
117,Universal content-based firmware,Sporting Goods,496,95627.09,0.1185,192.65,0.0121
118,Proactive human-resource moderator,Toys,546,25290.73,0.1457,46.34,0.0128
119,Enterprise-wide eco-centric benchmark,Sporting Goods,525,29974.83,0.1289,57.0,0.0171
120,User-friendly multimedia hierarchy,Toys,551,26895.22,0.1445,48.7,0.0181
121,Devolved bi-directional Internet solution,Electronics,554,118792.75,0.1353,214.46,0.0126
122,Integrated motivating system engine,Beauty,531,34793.36,0.15,65.49,0.0113
123,Function-based bandwidth-monitored collaboration,Home & Kitchen,580,114885.48,0.1389,198.18,0.0155
124,Re-engineered system-worthy model,Home & Kitchen,574,173193.1,0.1364,302.06,0.0105
125,Object-based actuating implementation,Apparel,502,13238.5,0.1386,26.37,0.0139
126,Re-engineered leadingedge product,Apparel,537,11507.59,0.1342,21.42,0.0168
127,Persevering next generation leverage,Apparel,509,64709.96,0.1438,127.0,0.0275
128,Quality-focused secondary benchmark,Electronics,512,277986.12,0.1323,542.9,0.0117
129,Advanced systematic structure,Apparel,568,66683.74,0.1321,117.27,0.0106
130,Pre-emptive mission-critical archive,Home & Kitchen,507,26492.78,0.1425,52.22,0.0138
131,Horizontal bi-directional secured line,Beauty,502,11236.56,0.1546,22.38,0.0159
132,Up-sized demand-driven knowledge user,Sporting Goods,509,138034.02,0.1269,271.12,0.0275
133,Total background software,Toys,515,8150.0,0.1346,15.83,0.0175
134,Synergistic needs-based interface,Groceries,533,11820.62,0.1417,22.19,0.0169
135,Polarized client-server contingency,Toys,608,18893.78,0.1383,30.97,0.0181
136,Multi-channeled 24hour artificial intelligence,Beauty,550,14923.62,0.1432,27.12,0.0182
137,Fundamental full-range analyzer,Beauty,515,4444.46,0.1354,8.61,0.0097
138,Cross-group next generation Graphic Interface,Toys,467,32122.78,0.15,68.77,0.0086
139,Enterprise-wide 3rdgeneration product,Sporting Goods,561,13301.58,0.1251,23.69,0.0107
140,Multi-channeled demand-driven Graphic Interface,Groceries,549,7976.22,0.1401,14.54,0.0146
141,Decentralized intangible Local Area Network,Apparel,520,43466.89,0.15,83.47,0.0154
142,Centralized 24/7 productivity,Electronics,570,656891.38,0.1394,1152.67,0.014
143,Total attitude-oriented definition,Beauty,477,32289.19,0.1472,67.65,0.0168
144,Customer-focused dedicated pricing structure,Groceries,557,11248.35,0.1353,20.22,0.0108
145,Extended dynamic analyzer,Toys,553,44922.17,0.1451,81.21,0.0199
146,Vision-oriented hybrid analyzer,Beauty,517,15875.5,0.15,30.72,0.0097
147,Customizable bandwidth-monitored framework,Electronics,575,50144.19,0.1334,87.3,0.0243
148,Assimilated asynchronous pricing structure,Beauty,540,10937.3,0.1427,20.25,0.0222
149,Profit-focused static workforce,Apparel,468,8229.04,0.1404,17.6,0.0128
150,Switchable systematic definition,Sporting Goods,490,49953.88,0.16,101.96,0.0265
151,Fundamental even-keeled infrastructure,Groceries,522,11452.32,0.1272,21.93,0.0134
152,Robust contextually-based utilization,Sporting Goods,575,62296.56,0.1412,108.32,0.0104
153,Down-sized responsive structure,Groceries,546,11864.19,0.1406,21.73,0.0201
154,Inverse mobile website,Toys,487,25568.37,0.1539,52.48,0.0062
155,Re-engineered incremental product,Beauty,519,12612.15,0.1556,24.26,0.0077
156,Triple-buffered incremental protocol,Sporting Goods,521,131243.95,0.1524,252.09,0.0192
157,Managed logistical hub,Home & Kitchen,545,93391.5,0.12,171.2,0.022
158,Reverse-engineered user-facing database,Sporting Goods,507,34431.42,0.1486,67.79,0.0138
159,Organic intermediate productivity,Apparel,531,46152.58,0.1519,86.83,0.0207
160,Pre-emptive 3rdgeneration model,Home & Kitchen,504,120721.73,0.1471,239.54,0.0179
161,Distributed leadingedge alliance,Toys,519,31670.15,0.1458,61.04,0.0116
162,Reduced context-sensitive throughput,Home & Kitchen,485,140404.28,0.1222,289.36,0.0206
163,Customizable asynchronous intranet,Beauty,498,17793.28,0.1344,35.81,0.012
164,Compatible maximized benchmark,Groceries,541,4679.71,0.1287,8.67,0.0148
165,Decentralized 3rdgeneration product,Beauty,566,41842.97,0.1411,73.83,0.0177
166,Function-based system-worthy projection,Beauty,535,28048.87,0.1581,52.52,0.0112
167,Profit-focused multi-tasking infrastructure,Apparel,537,15038.42,0.1321,28.08,0.0149
168,Focused modular task-force,Sporting Goods,514,35142.78,0.1296,68.3,0.0136
169,Advanced disintermediate functionalities,Beauty,554,19379.02,0.1449,35.02,0.0235
170,Multi-lateral bi-directional infrastructure,Toys,491,30110.03,0.1309,61.25,0.0041
171,Cross-group clear-thinking access,Groceries,548,21449.04,0.123,39.16,0.0164
