customer_id,total_orders,total_spent,average_order_value,total_items,first_order_date,last_order_date,customer_lifetime_days,days_since_last_purchase,purchase_frequency,average_days_between_orders,recency,frequency,monetary,is_active
1,12.0,3563.83,296.99,41.0,2025-05-18,2026-04-20,1199,72.0,0.3003,30.64,72.0,12.0,3563.83,True
2,1.0,515.44,515.44,2.0,2026-06-29,2026-06-29,40,2.0,0.75,,2.0,1.0,515.44,True
3,6.0,2765.29,460.88,20.0,2026-01-28,2026-06-11,159,20.0,1.1321,26.8,20.0,6.0,2765.29,True
4,11.0,2492.76,226.61,28.0,2025-01-17,2026-06-05,1179,26.0,0.2799,50.4,26.0,11.0,2492.76,True
5,0.0,0.0,0.0,0.0,,,41,,0.0,,,0.0,0.0,False
6,9.0,3226.24,358.47,33.0,2025-05-16,2026-04-16,489,76.0,0.5521,41.88,76.0,9.0,3226.24,True
7,7.0,4659.32,665.62,17.0,2025-08-04,2026-05-10,338,52.0,0.6213,46.5,52.0,7.0,4659.32,True
8,7.0,2475.0,353.57,26.0,2025-03-29,2026-06-05,624,26.0,0.3365,72.17,26.0,7.0,2475.0,True
9,10.0,4846.03,484.6,32.0,2025-01-15,2026-06-13,1058,18.0,0.2836,57.11,18.0,10.0,4846.03,True
10,10.0,4092.22,409.22,47.0,2025-01-03,2026-05-07,879,55.0,0.3413,54.33,55.0,10.0,4092.22,True
11,5.0,1120.26,224.05,15.0,2026-02-12,2026-06-16,170,15.0,0.8824,31.0,15.0,5.0,1120.26,True
12,5.0,2172.61,434.52,16.0,2025-07-18,2026-03-27,908,96.0,0.1652,63.0,96.0,5.0,2172.61,False
13,6.0,7866.13,1311.02,21.0,2025-06-11,2026-05-25,457,37.0,0.3939,69.6,37.0,6.0,7866.13,True
14,11.0,2493.56,226.69,28.0,2025-01-04,2026-06-03,998,28.0,0.3307,51.5,28.0,11.0,2493.56,True
15,8.0,4923.52,615.44,29.0,2025-07-26,2026-05-24,432,38.0,0.5556,43.14,38.0,8.0,4923.52,True
16,5.0,1648.09,329.62,13.0,2025-06-26,2026-06-15,384,16.0,0.3906,88.5,16.0,5.0,1648.09,True
17,1.0,135.82,135.82,1.0,2026-05-05,2026-05-05,78,57.0,0.3846,,57.0,1.0,135.82,True
18,0.0,0.0,0.0,0.0,,,87,,0.0,,,0.0,0.0,False
19,2.0,426.73,213.36,3.0,2026-05-29,2026-06-06,93,25.0,0.6452,8.0,25.0,2.0,426.73,True
20,4.0,4890.21,1222.55,13.0,2026-04-07,2026-06-29,340,2.0,0.3529,27.67,2.0,4.0,4890.21,True
21,9.0,2350.98,261.22,16.0,2025-06-30,2026-05-03,377,59.0,0.7162,38.38,59.0,9.0,2350.98,True
22,7.0,3211.77,458.82,12.0,2025-09-22,2026-06-01,284,30.0,0.7394,42.0,30.0,7.0,3211.77,True
23,11.0,6577.75,597.98,34.0,2025-01-19,2026-05-20,1246,42.0,0.2648,48.6,42.0,11.0,6577.75,True
24,3.0,1871.95,623.98,9.0,2025-11-02,2026-03-16,428,107.0,0.2103,67.0,107.0,3.0,1871.95,False
25,4.0,1529.84,382.46,14.0,2025-12-25,2026-05-29,208,33.0,0.5769,51.67,33.0,4.0,1529.84,True
26,10.0,7562.97,756.3,23.0,2025-01-19,2026-04-03,1266,89.0,0.237,48.78,89.0,10.0,7562.97,True
27,10.0,9524.16,952.42,40.0,2025-03-25,2026-06-25,507,6.0,0.5917,50.78,6.0,10.0,9524.16,True
28,11.0,2977.01,270.64,34.0,2025-01-14,2026-04-10,592,82.0,0.5574,45.1,82.0,11.0,2977.01,True
29,11.0,11084.17,1007.65,36.0,2025-01-07,2026-05-17,705,45.0,0.4681,49.5,45.0,11.0,11084.17,True
30,14.0,4150.41,296.46,35.0,2025-04-04,2026-07-01,480,0.0,0.875,34.85,0.0,14.0,4150.41,True
31,7.0,4238.12,605.45,29.0,2025-01-02,2026-07-01,667,0.0,0.3148,90.83,0.0,7.0,4238.12,True
32,15.0,8471.98,564.8,48.0,2025-01-19,2026-05-20,944,42.0,0.4767,34.71,42.0,15.0,8471.98,True
33,8.0,4595.21,574.4,31.0,2025-03-10,2026-05-26,732,36.0,0.3279,63.14,36.0,8.0,4595.21,True
34,8.0,14531.4,1816.42,41.0,2025-03-20,2026-06-08,478,23.0,0.5021,63.57,23.0,8.0,14531.4,True
35,6.0,3766.53,627.76,21.0,2025-03-18,2026-04-01,543,91.0,0.3315,75.8,91.0,6.0,3766.53,False
36,1.0,2203.55,2203.55,5.0,2026-06-18,2026-06-18,42,13.0,0.7143,,13.0,1.0,2203.55,True
37,7.0,2392.42,341.77,24.0,2025-01-02,2026-02-13,805,138.0,0.2609,67.83,138.0,7.0,2392.42,False
38,14.0,7422.4,530.17,49.0,2025-03-28,2026-05-14,1227,48.0,0.3423,31.69,48.0,14.0,7422.4,True
39,9.0,3316.18,368.46,23.0,2025-04-23,2026-05-14,845,48.0,0.3195,48.25,48.0,9.0,3316.18,True
40,8.0,3175.2,396.9,19.0,2025-01-29,2026-06-20,1204,11.0,0.1993,72.43,11.0,8.0,3175.2,True
41,7.0,6115.5,873.64,27.0,2025-07-29,2026-05-02,377,60.0,0.557,46.17,60.0,7.0,6115.5,True
42,5.0,2805.53,561.11,18.0,2025-11-26,2026-04-12,222,80.0,0.6757,34.25,80.0,5.0,2805.53,True
43,8.0,2883.55,360.44,26.0,2025-03-03,2026-05-23,497,39.0,0.4829,63.71,39.0,8.0,2883.55,True
44,11.0,5248.42,477.13,43.0,2025-01-12,2026-06-24,650,7.0,0.5077,52.8,7.0,11.0,5248.42,True
45,8.0,3881.53,485.19,24.0,2025-05-10,2026-06-05,1196,26.0,0.2007,55.86,26.0,8.0,3881.53,True
46,7.0,3538.61,505.52,21.0,2025-08-01,2026-04-22,362,70.0,0.5801,44.0,70.0,7.0,3538.61,True
47,0.0,0.0,0.0,0.0,,,30,,0.0,,,0.0,0.0,False
48,7.0,2171.01,310.14,21.0,2025-06-11,2026-05-24,487,38.0,0.4312,57.83,38.0,7.0,2171.01,True
49,7.0,4202.62,600.37,26.0,2025-11-22,2026-05-07,228,55.0,0.9211,27.67,55.0,7.0,4202.62,True
50,10.0,3887.76,388.78,48.0,2025-04-11,2026-05-20,462,42.0,0.6494,44.89,42.0,10.0,3887.76,True
51,10.0,6453.46,645.35,35.0,2025-06-30,2026-06-10,388,21.0,0.7732,38.33,21.0,10.0,6453.46,True
52,1.0,334.82,334.82,5.0,2026-06-08,2026-06-08,131,23.0,0.229,,23.0,1.0,334.82,True
53,2.0,256.15,128.07,7.0,2025-06-25,2025-07-11,1061,355.0,0.0566,16.0,355.0,2.0,256.15,False
54,12.0,12323.51,1026.96,49.0,2025-01-09,2026-06-01,1221,30.0,0.2948,46.18,30.0,12.0,12323.51,True
55,0.0,0.0,0.0,0.0,,,170,,0.0,,,0.0,0.0,False
56,3.0,925.94,308.65,11.0,2025-12-24,2026-03-11,941,112.0,0.0956,38.5,112.0,3.0,925.94,False
57,12.0,7428.86,619.07,41.0,2025-01-13,2026-05-10,1259,52.0,0.2859,43.82,52.0,12.0,7428.86,True
58,10.0,9619.3,961.93,38.0,2025-02-23,2026-03-26,717,97.0,0.4184,44.0,97.0,10.0,9619.3,False
59,11.0,7222.52,656.59,32.0,2025-01-06,2026-05-21,967,41.0,0.3413,50.0,41.0,11.0,7222.52,True
60,7.0,3766.62,538.09,23.0,2025-03-14,2026-04-16,625,76.0,0.336,66.33,76.0,7.0,3766.62,True
61,5.0,1648.73,329.75,24.0,2025-11-07,2026-04-26,254,66.0,0.5906,42.5,66.0,5.0,1648.73,True
62,5.0,2867.76,573.55,18.0,2025-10-04,2026-05-17,338,45.0,0.4438,56.25,45.0,5.0,2867.76,True
63,9.0,7969.82,885.54,32.0,2025-01-27,2026-04-24,1040,68.0,0.2596,56.5,68.0,9.0,7969.82,True
64,1.0,845.36,845.36,5.0,2026-03-28,2026-03-28,113,95.0,0.2655,,95.0,1.0,845.36,False
65,10.0,7098.23,709.82,34.0,2025-01-04,2026-06-24,1115,7.0,0.2691,59.56,7.0,10.0,7098.23,True
66,1.0,410.24,410.24,2.0,2026-05-16,2026-05-16,49,46.0,0.6122,,46.0,1.0,410.24,True
67,3.0,876.63,292.21,10.0,2026-04-19,2026-06-06,78,25.0,1.1538,24.0,25.0,3.0,876.63,True
68,4.0,1049.19,262.3,12.0,2025-09-21,2026-05-28,322,34.0,0.3727,83.0,34.0,4.0,1049.19,True
69,6.0,5031.91,838.65,26.0,2025-04-21,2026-05-08,556,54.0,0.3237,76.4,54.0,6.0,5031.91,True
70,9.0,4414.35,490.48,27.0,2025-02-03,2026-06-05,1195,26.0,0.2259,60.88,26.0,9.0,4414.35,True
71,10.0,6282.0,628.2,44.0,2025-02-19,2026-05-09,1021,53.0,0.2938,49.33,53.0,10.0,6282.0,True
72,6.0,3236.21,539.37,20.0,2025-08-12,2026-06-15,864,16.0,0.2083,61.4,16.0,6.0,3236.21,True
73,5.0,2876.91,575.38,17.0,2025-08-14,2026-05-03,333,59.0,0.4505,65.5,59.0,5.0,2876.91,True
74,1.0,1020.04,1020.04,1.0,2026-03-18,2026-03-18,112,105.0,0.2679,,105.0,1.0,1020.04,False
75,3.0,511.22,170.41,4.0,2026-01-19,2026-06-28,165,3.0,0.5455,80.0,3.0,3.0,511.22,True
76,7.0,1848.01,264.0,21.0,2025-12-15,2026-05-02,228,60.0,0.9211,23.0,60.0,7.0,1848.01,True
77,6.0,2952.37,492.06,16.0,2025-06-23,2026-06-28,817,3.0,0.2203,74.0,3.0,6.0,2952.37,True
78,11.0,4237.62,385.24,32.0,2025-03-30,2026-06-17,928,14.0,0.3556,44.4,14.0,11.0,4237.62,True
79,5.0,1515.26,303.05,19.0,2026-03-20,2026-06-07,135,24.0,1.1111,19.75,24.0,5.0,1515.26,True
80,2.0,100.19,50.1,3.0,2026-06-11,2026-06-19,67,12.0,0.8955,8.0,12.0,2.0,100.19,True
81,2.0,184.78,92.39,3.0,2026-05-06,2026-05-12,125,50.0,0.48,6.0,50.0,2.0,184.78,True
82,5.0,1470.46,294.09,11.0,2025-02-01,2026-03-22,854,101.0,0.1756,103.5,101.0,5.0,1470.46,False
83,1.0,41.04,41.04,2.0,2026-05-12,2026-05-12,64,50.0,0.4688,,50.0,1.0,41.04,True
84,10.0,4404.09,440.41,28.0,2025-02-12,2026-05-26,590,36.0,0.5085,52.0,36.0,10.0,4404.09,True
85,8.0,5294.76,661.84,22.0,2025-07-30,2026-06-03,446,28.0,0.5381,44.0,28.0,8.0,5294.76,True
86,7.0,1626.3,232.33,21.0,2025-01-16,2026-01-22,781,160.0,0.2689,61.83,160.0,7.0,1626.3,False
87,7.0,2289.97,327.14,18.0,2025-04-26,2026-02-26,853,125.0,0.2462,51.0,125.0,7.0,2289.97,False
88,6.0,2299.44,383.24,13.0,2025-02-08,2026-06-07,513,24.0,0.3509,96.8,24.0,6.0,2299.44,True
89,0.0,0.0,0.0,0.0,,,106,,0.0,,,0.0,0.0,False
90,10.0,2879.79,287.98,38.0,2025-03-16,2026-07-01,498,0.0,0.6024,52.44,0.0,10.0,2879.79,True
91,9.0,3484.27,387.14,37.0,2025-02-21,2026-05-04,600,58.0,0.45,54.62,58.0,9.0,3484.27,True
92,9.0,2744.25,304.92,32.0,2025-01-14,2026-04-13,898,79.0,0.3007,56.75,79.0,9.0,2744.25,True
93,4.0,2042.37,510.59,13.0,2025-12-14,2026-06-30,201,1.0,0.597,66.0,1.0,4.0,2042.37,True
94,8.0,3167.8,395.98,25.0,2025-09-12,2026-06-14,298,17.0,0.8054,39.29,17.0,8.0,3167.8,True
95,4.0,524.23,131.06,9.0,2025-10-31,2026-04-25,243,67.0,0.4938,58.67,67.0,4.0,524.23,True
96,5.0,3810.5,762.1,23.0,2026-03-11,2026-06-09,134,22.0,1.1194,22.5,22.0,5.0,3810.5,True
97,7.0,2980.27,425.75,17.0,2025-03-02,2026-06-08,766,23.0,0.2742,77.17,23.0,7.0,2980.27,True
98,1.0,14.76,14.76,1.0,2026-03-14,2026-03-14,246,109.0,0.122,,109.0,1.0,14.76,False
99,1.0,816.88,816.88,3.0,2026-04-30,2026-04-30,212,62.0,0.1415,,62.0,1.0,816.88,True
100,2.0,932.36,466.18,9.0,2026-04-23,2026-05-14,132,48.0,0.4545,21.0,48.0,2.0,932.36,True
101,1.0,307.15,307.15,1.0,2026-06-11,2026-06-11,30,20.0,1.0,,20.0,1.0,307.15,True
102,1.0,179.38,179.38,6.0,2026-01-24,2026-01-24,168,158.0,0.1786,,158.0,1.0,179.38,False
103,5.0,1472.49,294.5,11.0,2025-12-06,2026-06-20,271,11.0,0.5535,49.0,11.0,5.0,1472.49,True
104,0.0,0.0,0.0,0.0,,,78,,0.0,,,0.0,0.0,False
105,11.0,2577.94,234.36,23.0,2025-01-04,2026-02-26,656,125.0,0.503,41.8,125.0,11.0,2577.94,False
106,8.0,5202.95,650.37,27.0,2025-01-17,2026-06-30,1079,1.0,0.2224,75.57,1.0,8.0,5202.95,True
107,1.0,846.25,846.25,6.0,2025-09-29,2025-09-29,872,275.0,0.0344,,275.0,1.0,846.25,False
108,8.0,1940.6,242.58,15.0,2025-01-01,2026-05-15,643,47.0,0.3733,71.29,47.0,8.0,1940.6,True
109,7.0,2391.67,341.67,14.0,2025-01-28,2026-01-19,652,163.0,0.3221,59.33,163.0,7.0,2391.67,False
110,9.0,5060.42,562.27,40.0,2025-03-12,2026-06-20,539,11.0,0.5009,58.12,11.0,9.0,5060.42,True
111,4.0,1158.74,289.68,13.0,2026-01-18,2026-05-23,200,39.0,0.6,41.67,39.0,4.0,1158.74,True
112,17.0,8360.73,491.81,54.0,2025-01-13,2026-06-09,1130,22.0,0.4513,32.0,22.0,17.0,8360.73,True
113,7.0,3816.07,545.15,29.0,2025-08-18,2026-05-01,445,61.0,0.4719,42.67,61.0,7.0,3816.07,True
114,12.0,4023.65,335.3,28.0,2025-06-20,2026-05-23,381,39.0,0.9449,30.64,39.0,12.0,4023.65,True
115,10.0,9339.23,933.92,26.0,2025-01-02,2026-06-05,569,26.0,0.5272,57.67,26.0,10.0,9339.23,True
116,8.0,9499.81,1187.48,36.0,2025-02-15,2026-02-21,534,130.0,0.4494,53.0,130.0,8.0,9499.81,False
117,8.0,2416.52,302.06,22.0,2025-05-15,2026-05-27,419,35.0,0.5728,53.86,35.0,8.0,2416.52,True
118,9.0,1505.49,167.28,13.0,2025-02-10,2026-04-12,531,80.0,0.5085,53.25,80.0,9.0,1505.49,True
119,1.0,1410.98,1410.98,5.0,2026-04-16,2026-04-16,160,76.0,0.1875,,76.0,1.0,1410.98,True
120,10.0,9715.03,971.5,35.0,2025-01-13,2026-03-01,707,122.0,0.4243,45.78,122.0,10.0,9715.03,False
121,1.0,541.12,541.12,8.0,2026-01-28,2026-01-28,194,154.0,0.1546,,154.0,1.0,541.12,False
122,12.0,4846.08,403.84,36.0,2025-01-08,2026-06-20,978,11.0,0.3681,48.0,11.0,12.0,4846.08,True
123,6.0,1173.23,195.54,19.0,2025-05-24,2026-05-28,406,34.0,0.4433,73.8,34.0,6.0,1173.23,True
124,5.0,2295.07,459.01,19.0,2025-11-07,2026-05-03,265,59.0,0.566,44.25,59.0,5.0,2295.07,True
125,10.0,8954.54,895.45,30.0,2025-01-20,2026-06-14,860,17.0,0.3488,56.67,17.0,10.0,8954.54,True
126,11.0,5242.76,476.61,46.0,2025-01-25,2026-05-01,832,61.0,0.3966,46.1,61.0,11.0,5242.76,True
127,13.0,7207.22,554.4,44.0,2025-03-26,2026-06-24,511,7.0,0.7632,37.92,7.0,13.0,7207.22,True
128,6.0,4116.9,686.15,24.0,2025-05-29,2026-05-23,640,39.0,0.2812,71.8,39.0,6.0,4116.9,True
129,3.0,3333.27,1111.09,16.0,2026-05-11,2026-05-27,115,35.0,0.7826,8.0,35.0,3.0,3333.27,True
130,0.0,0.0,0.0,0.0,,,92,,0.0,,,0.0,0.0,False
131,5.0,2693.03,538.61,19.0,2025-01-13,2026-01-18,949,164.0,0.1581,92.5,164.0,5.0,2693.03,False
132,10.0,7472.19,747.22,40.0,2025-02-12,2026-06-25,1193,6.0,0.2515,55.33,6.0,10.0,7472.19,True
133,6.0,3510.5,585.08,26.0,2025-03-08,2026-04-17,640,75.0,0.2812,81.0,75.0,6.0,3510.5,True
134,3.0,3111.01,1037.0,11.0,2026-03-11,2026-05-17,277,45.0,0.3249,33.5,45.0,3.0,3111.01,True
135,9.0,5715.27,635.03,32.0,2025-03-13,2026-04-26,487,66.0,0.5544,51.12,66.0,9.0,5715.27,True
136,4.0,1399.02,349.76,8.0,2026-01-31,2026-06-06,169,25.0,0.7101,42.0,25.0,4.0,1399.02,True
137,11.0,4889.65,444.51,32.0,2025-09-21,2026-06-07,303,24.0,1.0891,25.9,24.0,11.0,4889.65,True
138,1.0,263.86,263.86,3.0,2026-03-23,2026-03-23,108,100.0,0.2778,,100.0,1.0,263.86,False
139,7.0,4458.89,636.98,33.0,2025-01-08,2025-10-25,871,249.0,0.2411,48.33,249.0,7.0,4458.89,False
140,5.0,1203.11,240.62,18.0,2025-08-14,2026-04-06,360,86.0,0.4167,58.75,86.0,5.0,1203.11,True
141,1.0,1488.81,1488.81,5.0,2026-06-20,2026-06-20,59,11.0,0.5085,,11.0,1.0,1488.81,True
142,8.0,8774.66,1096.83,36.0,2025-01-17,2026-06-10,845,21.0,0.284,72.71,21.0,8.0,8774.66,True
143,8.0,6217.04,777.13,32.0,2025-02-16,2026-06-18,1034,13.0,0.2321,69.57,13.0,8.0,6217.04,True
