inventory_id,store_id,product_id,snapshot_date,stock_level,reorder_level
1,1,57,2026-01-11,81,17
2,1,38,2026-01-11,121,27
3,1,68,2026-01-11,52,9
4,1,80,2026-01-11,34,6
5,1,81,2026-01-11,87,18
6,1,189,2026-01-11,57,11
7,1,184,2026-01-11,44,10
8,1,11,2026-01-11,104,20
9,1,129,2026-01-11,27,7
10,1,63,2026-01-11,147,28
11,1,66,2026-01-11,142,24
12,1,18,2026-01-11,20,6
13,1,134,2026-01-11,100,23
14,1,196,2026-01-11,108,20
15,1,147,2026-01-11,130,25
16,1,39,2026-01-11,124,24
17,1,174,2026-01-11,41,10
18,1,150,2026-01-11,104,17
19,1,94,2026-01-11,82,15
20,1,30,2026-01-11,119,23
21,1,1,2026-01-11,127,22
22,1,3,2026-01-11,146,26
23,1,123,2026-01-11,102,18
24,1,181,2026-01-11,82,16
25,1,96,2026-01-11,81,17
26,1,122,2026-01-11,88,24
27,1,186,2026-01-11,134,24
28,1,40,2026-01-11,33,5
29,1,67,2026-01-11,79,20
30,1,20,2026-01-11,120,22
31,1,12,2026-01-11,40,8
32,1,46,2026-01-11,104,24
33,1,42,2026-01-11,111,24
34,1,93,2026-01-11,20,5
35,1,169,2026-01-11,155,28
36,1,2,2026-01-11,31,6
37,1,58,2026-01-11,55,10
38,1,190,2026-01-11,83,14
39,1,152,2026-01-11,57,10
40,1,168,2026-01-11,52,12
41,1,117,2026-01-11,156,26
42,1,139,2026-01-11,51,10
43,1,156,2026-01-11,61,12
44,1,83,2026-01-11,112,25
45,1,161,2026-01-11,144,29
46,1,182,2026-01-11,18,4
47,1,172,2026-01-11,43,10
48,1,13,2026-01-11,38,8
49,1,56,2026-01-11,74,12
50,1,78,2026-01-11,117,20
51,1,23,2026-01-11,87,20
52,1,130,2026-01-11,72,16
53,1,106,2026-01-11,21,4
54,1,103,2026-01-11,71,17
55,1,160,2026-01-11,38,8
56,1,10,2026-01-11,117,21
57,1,16,2026-01-11,78,12
58,1,151,2026-01-11,28,5
59,1,77,2026-01-11,144,28
60,1,120,2026-01-11,118,23
61,1,72,2026-01-11,101,19
62,1,91,2026-01-11,96,20
63,1,101,2026-01-11,114,21
64,1,45,2026-01-11,135,27
65,1,95,2026-01-11,135,25
66,1,177,2026-01-11,101,20
67,1,143,2026-01-11,168,29
68,1,114,2026-01-11,163,29
69,1,54,2026-01-11,134,25
70,1,21,2026-01-11,78,16
71,1,31,2026-01-11,110,17
72,1,115,2026-01-11,143,22
73,1,173,2026-01-11,47,8
74,1,27,2026-01-11,28,5
75,1,51,2026-01-11,82,20
76,1,193,2026-01-11,53,10
77,1,180,2026-01-11,159,22
78,1,185,2026-01-11,37,8
