order_item_id,order_id,product_id,quantity,unit_price,line_total
1,1,11,1,28.55,28.55
2,2,43,1,8.83,8.83
3,2,159,1,87.96,87.96
4,3,51,1,764.02,764.02
5,4,144,1,20.5,20.5
6,4,154,3,53.19,159.57
7,5,164,1,7.91,7.91
8,5,54,2,139.39,278.78
9,6,184,1,121.62,121.62
10,7,16,3,114.65,343.95
11,7,107,2,45.49,90.98
12,7,42,3,26.29,78.87
13,8,192,3,7.76,23.28
14,8,131,2,22.76,45.52
15,8,174,1,37.33,37.33
16,8,160,1,241.54,241.54
17,9,188,1,98.12,98.12
18,9,135,1,31.38,31.38
19,10,78,1,43.15,43.15
20,11,100,2,1019.46,2038.92
21,11,114,1,39.36,39.36
22,11,55,3,53.49,160.47
23,12,31,1,38.52,38.52
24,12,89,1,51.13,51.13
25,13,79,3,23.32,69.96
26,14,83,1,285.42,285.42
27,14,150,1,103.36,103.36
28,15,133,1,16.05,16.05
29,15,73,3,5.1,15.3
30,15,94,1,24.33,24.33
31,15,128,3,495.22,1485.66
32,16,103,2,112.17,224.34
33,16,153,1,22.04,22.04
34,17,84,2,532.99,1065.98
35,18,78,1,43.15,43.15
36,19,167,1,28.38,28.38
37,19,71,1,122.24,122.24
38,19,155,1,24.59,24.59
39,20,176,1,214.93,214.93
40,21,135,1,31.38,31.38
41,21,137,1,8.73,8.73
42,21,94,2,24.33,48.66
43,22,141,1,84.88,84.88
44,23,196,1,117.5,117.5
45,24,94,1,24.33,24.33
46,25,118,1,47.07,47.07
47,25,86,2,128.18,256.36
48,25,132,1,274.04,274.04
49,26,135,2,31.38,62.76
50,26,172,1,11.1,11.1
51,27,191,2,18.53,37.06
52,27,21,1,94.98,94.98
53,27,36,1,27.83,27.83
54,28,94,2,24.33,48.66
55,28,129,3,118.57,355.71
56,29,66,2,1042.18,2084.36
57,29,86,1,128.18,128.18
58,29,59,1,1024.18,1024.18
59,30,136,1,27.57,27.57
60,31,68,1,32.64,32.64
61,32,81,1,103.81,103.81
62,32,62,1,389.89,389.89
63,33,2,2,280.62,561.24
64,34,196,1,117.5,117.5
65,35,114,2,35.42,70.84
66,35,170,2,62.43,124.86
67,35,120,2,44.68,89.36
68,36,82,1,151.85,151.85
69,36,89,3,51.13,153.39
70,37,112,3,5.61,16.83
71,37,70,2,8.65,17.3
72,37,67,1,105.81,105.81
73,38,83,1,317.13,317.13
74,38,73,1,5.1,5.1
75,39,17,1,133.14,133.14
76,39,138,1,69.62,69.62
77,40,25,1,89.99,89.99
78,41,73,2,5.1,10.2
79,41,110,3,450.18,1350.54
80,42,194,1,22.41,22.41
81,43,96,2,97.96,195.92
82,44,34,1,70.71,70.71
83,44,155,1,24.59,24.59
84,44,136,1,27.57,27.57
85,44,120,1,49.65,49.65
86,45,144,1,20.5,20.5
87,46,5,1,221.9,221.9
88,46,57,1,668.75,668.75
89,47,41,1,20.7,20.7
90,47,20,1,38.23,38.23
91,48,24,1,61.51,61.51
92,48,120,1,49.65,49.65
93,48,163,1,36.38,36.38
94,48,93,3,374.62,1123.86
95,49,21,2,94.98,189.96
96,50,16,2,114.65,229.3
97,51,30,2,375.61,751.22
98,51,102,1,205.12,205.12
99,51,26,1,77.67,77.67
100,52,46,3,186.91,560.73
101,53,54,2,154.88,309.76
102,53,12,2,49.52,99.04
103,54,199,1,28.74,28.74
104,54,32,3,799.58,2398.74
105,54,197,1,109.06,109.06
106,55,190,3,133.95,401.85
107,56,121,3,217.45,652.35
108,56,80,3,320.66,961.98
109,56,1,1,15.79,15.79
110,56,65,1,80.12,80.12
111,57,178,1,131.53,131.53
112,58,31,1,38.52,38.52
113,58,56,1,50.51,50.51
114,58,122,1,66.45,66.45
115,59,157,2,172.5,345.0
116,59,14,1,52.66,52.66
117,59,138,2,69.62,139.24
118,60,177,3,16.91,50.73
119,60,134,3,22.43,67.29
120,61,94,1,21.9,21.9
121,62,123,1,201.13,201.13
122,63,156,3,231.47,694.41
123,64,170,2,56.19,112.38
124,64,144,3,20.5,61.5
125,65,197,1,109.06,109.06
126,66,128,1,550.25,550.25
127,67,150,2,93.02,186.04
128,68,59,1,1024.18,1024.18
129,69,198,2,34.7,69.4
130,69,166,1,53.61,53.61
131,69,186,1,106.02,106.02
132,70,77,2,333.97,667.94
133,71,25,1,71.99,71.99
134,72,93,3,374.62,1123.86
135,72,42,1,26.29,26.29
136,73,122,2,66.45,132.9
137,74,155,2,24.59,49.18
138,74,180,1,62.8,62.8
139,75,93,1,299.7,299.7
140,75,107,2,45.49,90.98
141,75,20,2,38.23,76.46
142,75,191,1,18.53,18.53
143,76,38,1,85.57,85.57
144,77,175,3,16.63,49.89
145,78,8,1,78.4,78.4
146,78,48,2,20.82,41.64
147,78,89,1,51.13,51.13
148,78,172,3,11.1,33.3
149,79,20,1,38.23,38.23
150,79,126,3,21.77,65.31
151,79,155,1,24.59,24.59
152,79,92,2,717.73,1435.46
153,80,66,1,1042.18,1042.18
154,80,133,2,16.05,32.1
155,80,156,1,257.19,257.19
156,81,119,1,57.9,57.9
157,81,28,1,81.11,81.11
158,81,91,3,36.36,109.08
159,82,152,1,109.89,109.89
160,82,108,1,105.42,105.42
161,83,33,3,179.86,539.58
162,83,181,1,125.44,125.44
163,84,95,1,1020.04,1020.04
164,84,36,1,27.83,27.83
165,84,132,2,274.04,548.08
166,85,10,1,153.83,153.83
167,86,170,3,62.43,187.29
168,86,164,1,8.79,8.79
169,87,146,2,31.11,62.22
170,88,44,1,14.55,14.55
171,89,181,2,125.44,250.88
172,90,85,1,12.01,12.01
173,90,163,2,36.38,72.76
174,91,2,2,280.62,561.24
175,91,131,2,22.76,45.52
176,92,9,1,37.92,37.92
177,92,14,1,65.83,65.83
178,93,34,2,70.71,141.42
179,93,149,3,17.92,53.76
180,93,24,2,61.51,123.02
181,94,177,1,15.22,15.22
182,95,191,2,18.53,37.06
183,95,193,1,18.07,18.07
184,96,197,2,109.06,218.12
185,97,139,1,23.98,23.98
186,98,47,1,252.5,252.5
187,98,184,2,121.62,243.24
188,99,67,1,105.81,105.81
189,100,120,1,49.65,49.65
190,101,67,1,105.81,105.81
191,102,180,1,62.8,62.8
192,102,24,1,61.51,61.51
193,102,108,1,105.42,105.42
194,103,107,2,45.49,90.98
195,103,39,1,101.13,101.13
196,104,147,2,88.36,176.72
197,105,184,1,121.62,121.62
198,105,164,2,8.79,17.58
199,106,110,1,562.72,562.72
200,106,135,3,31.38,94.14
201,107,48,2,20.82,41.64
202,108,33,1,179.86,179.86
203,109,116,1,46.78,46.78
204,109,134,3,22.43,67.29
205,110,27,3,91.82,275.46
206,111,36,2,27.83,55.66
207,112,62,1,350.9,350.9
208,113,120,2,49.65,99.3
209,113,62,2,389.89,779.78
210,113,85,1,12.01,12.01
211,114,11,2,28.55,57.1
212,114,102,2,205.12,410.24
213,114,197,3,109.06,327.18
214,114,153,3,22.04,66.12
215,115,21,1,94.98,94.98
216,116,112,2,5.61,11.22
217,116,22,1,31.19,31.19
218,116,154,2,53.19,106.38
219,116,69,3,281.9,845.7
220,117,167,2,28.38,56.76
221,117,93,3,374.62,1123.86
222,118,127,1,128.93,128.93
223,118,122,1,66.45,66.45
224,118,153,2,22.04,44.08
225,119,55,1,53.49,53.49
226,119,84,3,426.39,1279.17
227,120,53,2,58.73,117.46
228,120,186,2,106.02,212.04
229,120,1,1,15.79,15.79
230,121,138,2,69.62,139.24
231,121,73,3,5.1,15.3
232,122,141,1,84.88,84.88
233,123,139,1,23.98,23.98
234,123,102,1,205.12,205.12
235,124,73,1,5.1,5.1
236,124,13,2,48.11,96.22
237,124,164,1,8.79,8.79
238,125,18,3,307.15,921.45
239,126,141,2,84.88,169.76
240,127,134,2,17.94,35.88
241,127,2,1,280.62,280.62
242,127,163,1,36.38,36.38
243,127,155,1,24.59,24.59
244,128,60,1,260.25,260.25
245,129,64,2,16.92,33.84
246,130,41,1,20.7,20.7
247,131,163,2,36.38,72.76
248,132,137,2,8.73,17.46
249,132,5,2,221.9,443.8
250,133,191,1,18.53,18.53
251,134,112,1,4.49,4.49
252,134,55,1,53.49,53.49
253,134,72,3,500.56,1501.68
254,135,116,2,46.78,93.56
255,136,40,1,7.25,7.25
256,136,126,3,21.77,65.31
257,137,92,1,717.73,717.73
258,137,187,2,104.22,208.44
259,138,91,3,36.36,109.08
260,139,84,2,532.99,1065.98
261,139,113,2,267.27,534.54
262,140,23,1,276.26,276.26
263,140,72,1,500.56,500.56
264,140,118,3,47.07,141.21
265,140,45,3,76.99,230.97
266,141,84,2,479.69,959.38
267,141,112,3,5.61,16.83
268,142,90,1,96.78,96.78
269,142,102,2,205.12,410.24
270,142,112,1,5.61,5.61
271,142,51,2,764.02,1528.04
272,143,136,2,27.57,55.14
273,144,154,3,53.19,159.57
274,144,164,1,8.79,8.79
275,144,161,1,62.05,62.05
276,144,85,1,12.01,12.01
277,145,139,1,23.98,23.98
278,146,24,3,55.36,166.08
279,147,157,2,155.25,310.5
280,147,179,1,13.23,13.23
281,148,20,2,38.23,76.46
282,149,161,2,62.05,124.1
283,149,19,3,134.81,404.43
284,150,189,2,214.6,429.2
285,151,114,1,31.49,31.49
286,151,25,1,89.99,89.99
287,151,105,3,257.72,773.16
288,152,135,1,31.38,31.38
289,153,2,1,280.62,280.62
290,154,183,2,58.55,117.1
291,154,134,3,22.43,67.29
292,155,133,1,16.05,16.05
293,155,14,3,65.83,197.49
294,156,52,1,974.94,974.94
295,157,72,2,500.56,1001.12
296,158,145,2,82.32,164.64
297,158,15,1,368.81,368.81
298,159,197,3,109.06,327.18
299,160,186,1,106.02,106.02
300,160,21,3,94.98,284.94
301,161,55,1,53.49,53.49
302,162,164,2,7.91,15.82
303,162,22,1,38.99,38.99
304,162,154,2,53.19,106.38
305,162,178,3,131.53,394.59
306,163,194,1,22.41,22.41
307,163,88,1,219.65,219.65
308,163,45,1,76.99,76.99
309,164,128,3,550.25,1650.75
310,164,192,1,7.76,7.76
311,164,50,1,15.97,15.97
312,164,63,1,296.8,296.8
313,165,9,3,37.92,113.76
314,166,80,2,320.66,641.32
315,167,134,2,22.43,44.86
316,167,164,1,8.79,8.79
317,168,3,1,388.25,388.25
318,168,30,1,375.61,375.61
319,168,190,2,133.95,267.9
320,169,150,3,103.36,310.08
321,169,172,2,11.1,22.2
322,169,113,2,267.27,534.54
323,170,112,1,5.61,5.61
324,171,125,1,26.68,26.68
325,171,158,3,69.07,207.21
326,171,78,3,43.15,129.45
327,171,34,2,70.71,141.42
328,172,17,1,133.14,133.14
329,173,102,1,184.61,184.61
330,173,32,2,799.58,1599.16
331,174,113,1,267.27,267.27
332,174,182,1,63.5,63.5
333,175,117,3,194.72,584.16
334,175,47,3,280.56,841.68
335,175,177,1,16.91,16.91
336,175,39,2,101.13,202.26
337,176,124,1,274.33,274.33
338,177,42,2,26.29,52.58
339,177,142,2,1168.43,2336.86
340,178,200,1,92.13,92.13
341,178,46,3,186.91,560.73
342,178,26,1,77.67,77.67
343,179,44,2,14.55,29.1
344,180,43,2,8.83,17.66
345,181,46,2,186.91,373.82
346,181,97,2,83.76,167.52
347,181,4,2,355.24,710.48
348,182,200,1,92.13,92.13
349,182,128,3,550.25,1650.75
350,182,35,1,5.78,5.78
351,182,28,3,81.11,243.33
352,183,181,2,125.44,250.88
353,183,67,3,105.81,317.43
354,184,80,2,320.66,641.32
