order_id,customer_id,store_id,order_date,channel,order_status
1,108,3,2025-01-01,online,completed
2,214,8,2025-01-01,online,completed
3,398,5,2025-01-01,online,completed
4,481,5,2025-01-01,online,completed
5,575,7,2025-01-01,in_store,completed
6,590,2,2025-01-01,in_store,completed
7,613,6,2025-01-01,in_store,completed
8,722,2,2025-01-01,online,completed
9,861,2,2025-01-01,in_store,completed
10,976,5,2025-01-01,in_store,completed
11,1101,8,2025-01-01,online,completed
12,1184,8,2025-01-01,online,completed
13,1191,8,2025-01-01,online,completed
14,1203,1,2025-01-01,in_store,completed
15,1252,8,2025-01-01,in_store,completed
16,1306,6,2025-01-01,online,completed
17,1437,8,2025-01-01,online,completed
18,1608,3,2025-01-01,online,completed
19,1614,6,2025-01-01,online,completed
20,1685,8,2025-01-01,online,completed
21,1945,8,2025-01-01,in_store,completed
22,1999,5,2025-01-01,in_store,completed
23,2135,8,2025-01-01,online,completed
24,2508,4,2025-01-01,online,completed
25,2548,4,2025-01-01,online,completed
26,2622,8,2025-01-01,online,completed
27,2733,2,2025-01-01,in_store,completed
28,2763,8,2025-01-01,in_store,completed
29,2809,6,2025-01-01,in_store,completed
30,2840,2,2025-01-01,online,completed
31,3059,8,2025-01-01,online,completed
32,3219,2,2025-01-01,in_store,completed
33,3394,5,2025-01-01,in_store,completed
34,3432,6,2025-01-01,online,completed
35,3677,8,2025-01-01,online,completed
36,3733,8,2025-01-01,online,completed
37,3763,4,2025-01-01,online,completed
38,3862,4,2025-01-01,in_store,completed
39,3884,8,2025-01-01,online,completed
40,3900,1,2025-01-01,online,completed
41,3963,4,2025-01-01,in_store,completed
42,3971,8,2025-01-01,online,completed
43,3992,6,2025-01-01,in_store,completed
44,4173,4,2025-01-01,in_store,completed
45,4287,6,2025-01-01,online,completed
46,4362,6,2025-01-01,in_store,completed
47,4461,7,2025-01-01,in_store,completed
48,4672,6,2025-01-01,online,completed
49,4872,1,2025-01-01,in_store,completed
50,4875,5,2025-01-01,in_store,completed
51,4988,1,2025-01-01,online,completed
52,31,8,2025-01-02,in_store,completed
53,37,1,2025-01-02,in_store,completed
54,115,3,2025-01-02,online,completed
55,417,1,2025-01-02,online,completed
56,445,3,2025-01-02,in_store,completed
57,460,7,2025-01-02,online,completed
58,1038,7,2025-01-02,online,completed
59,1126,1,2025-01-02,in_store,completed
60,1422,2,2025-01-02,in_store,completed
61,1430,6,2025-01-02,online,completed
62,1484,7,2025-01-02,online,completed
63,2118,3,2025-01-02,in_store,completed
64,2219,5,2025-01-02,in_store,cancelled
65,2809,6,2025-01-02,online,completed
66,3010,6,2025-01-02,online,completed
67,3144,3,2025-01-02,in_store,completed
68,3619,8,2025-01-02,online,completed
69,3831,2,2025-01-02,in_store,cancelled
70,4147,8,2025-01-02,online,completed
71,4249,1,2025-01-02,online,completed
72,4354,8,2025-01-02,online,completed
73,4432,7,2025-01-02,online,completed
74,4494,5,2025-01-02,online,completed
75,4798,7,2025-01-02,online,completed
76,4845,6,2025-01-02,in_store,cancelled
77,4902,4,2025-01-02,in_store,completed
78,10,7,2025-01-03,online,completed
79,167,5,2025-01-03,online,completed
80,256,7,2025-01-03,in_store,completed
81,322,7,2025-01-03,in_store,completed
82,889,7,2025-01-03,in_store,completed
83,970,7,2025-01-03,online,completed
84,1217,4,2025-01-03,in_store,completed
85,1334,6,2025-01-03,in_store,completed
86,1925,8,2025-01-03,online,completed
87,2042,2,2025-01-03,in_store,completed
88,2189,8,2025-01-03,in_store,completed
89,2206,6,2025-01-03,online,completed
90,2233,2,2025-01-03,in_store,completed
91,2592,8,2025-01-03,online,completed
92,2683,8,2025-01-03,online,completed
93,2698,8,2025-01-03,online,completed
94,2736,7,2025-01-03,in_store,completed
95,2928,5,2025-01-03,in_store,completed
96,2954,8,2025-01-03,online,completed
97,3128,1,2025-01-03,online,completed
98,3152,5,2025-01-03,online,completed
99,3156,1,2025-01-03,in_store,completed
100,3579,2,2025-01-03,online,completed
101,3636,8,2025-01-03,online,completed
102,3802,4,2025-01-03,online,completed
103,3819,4,2025-01-03,online,completed
104,3980,7,2025-01-03,online,completed
105,4024,5,2025-01-03,online,completed
106,4312,2,2025-01-03,online,completed
107,4643,2,2025-01-03,in_store,completed
108,4845,6,2025-01-03,online,completed
109,14,6,2025-01-04,in_store,completed
110,65,8,2025-01-04,online,completed
111,105,6,2025-01-04,online,completed
112,365,7,2025-01-04,online,completed
